id,label,timeset,py,so,modularity_class,clustering,triangles,degree
798,Consumer perceptions and willingness to pay for intrinsically motivated online content,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.09523809523809523,2,1
799,"Do I trust you online, and if so, will I buy? An empirical study of two trust-building strategies",,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,11,0.47794117647058826,65,17
800,Information systems success in the context of different corporate cultural types: An empirical investigation,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,30,0.4222222222222222,19,10
801,The transformation of open source software,,2006,MIS QUARTERLY,9,0.3333333333333333,1,3
802,Academic data collection in electronic environments: Defining acceptable use of internet resources,,2006,MIS QUARTERLY,20,0.7032967032967034,64,14
803,The nature of theory in information systems,,2006,MIS QUARTERLY,24,0.25274725274725274,23,14
804,Order lead-time improvement following enterprise information technology implementation: An empirical study,,2006,MIS QUARTERLY,11,0.8571428571428571,18,7
805,Enhancing the design of web navigation systems: The influence of user disorientation on engagement and performance,,2006,MIS QUARTERLY,20,1.0,21,7
806,The role of espoused national cultural values in technology acceptance,,2006,MIS QUARTERLY,2,0.39285714285714285,11,8
807,"Electronic marketplaces and price transparency: Strategy, information technology, and success",,2006,MIS QUARTERLY,18,0.7222222222222222,26,9
808,Professional versus political contexts: Institutional mitigation and the transaction cost heuristic in information systems outsourcing,,2006,MIS QUARTERLY,9,0.8888888888888888,32,9
809,Information technology and pricing decisions: Price adjustments in online computer markets,,2006,MIS QUARTERLY,18,0.38095238095238093,40,15
810,Circuits of power in creating de jure standards: Shaping an international information systems security standard,,2006,MIS QUARTERLY,13,0.9111111111111111,41,10
811,Industry-wide information systems standardization as collective action: The case of the US residential mortgage industry,,2006,MIS QUARTERLY,13,0.8363636363636363,46,11
812,The ecology of standards processes: Insights from Internet standard making,,2006,MIS QUARTERLY,13,1.0,28,8
813,"A unified economic model of standard diffusion: The impact of standardization cost, network effects, and network topology",,2006,MIS QUARTERLY,13,0.8363636363636363,46,11
814,"Migration to open-standard interorganizational systems: Network effects, switching costs, and path dependency",,2006,MIS QUARTERLY,13,0.26666666666666666,32,16
815,Can vendors influence switching costs and compatibility in an environment with open standards?,,2006,MIS QUARTERLY,13,0.5,33,12
816,Reflexive standardization: Side effects and complexity in standard making,,2006,MIS QUARTERLY,13,0.8363636363636363,46,11
817,Issues and opinions - Publication opportunities in premier business outlets: How level is the playing field?,,2006,INFORMATION SYSTEMS RESEARCH,24,0.6666666666666666,44,12
818,Impacts of license choice and organizational sponsorship on user interest and development activity in open source software projects,,2006,INFORMATION SYSTEMS RESEARCH,9,0.6111111111111112,22,9
819,ERP investments and the market value of firms: Toward an understanding of influential ERP project variables,,2006,INFORMATION SYSTEMS RESEARCH,11,0.9333333333333333,14,6
820,Understanding the adoption of multipurpose information appliances: The case of mobile data services,,2006,INFORMATION SYSTEMS RESEARCH,21,0.38095238095238093,40,15
821,"Information technology, contract completeness, and buyer-supplier relationships",,2006,INFORMATION SYSTEMS RESEARCH,13,0.5714285714285714,16,8
822,Relational antecedents of information flow integration for supply chain coordination,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,1.0,3,3
823,Understanding business process change failure: An actor-network perspective,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,23,0.5454545454545454,30,11
824,Web documents' cultural masculinity and femininity,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.5274725274725275,48,14
825,Consumer search and retailer strategies in the presence of online music sharing,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,12,0.5,3,4
826,Market segmentation within consolidated E-markets: A generalized combinatorial auction approach,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,18,0.3333333333333333,5,6
827,How hypertext links influence consumer perceptions to build and degrade trust online,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.39285714285714285,11,8
828,Buyers' choice of online search strategy and its managerial implications,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.2,2,5
829,On the valuation of multistage information technology investments embedding nested real options,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.75,21,8
830,ERP misfit: Country of origin and organizational factors,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,11,0.8571428571428571,18,7
831,"Information processing design choices, strategy, and risk management performance",,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,30,0.5333333333333333,8,6
832,"Reliability, mindfulness, and information systems",,2006,MIS QUARTERLY,16,0.14285714285714285,4,8
833,Firm performance impacts of digitally enabled supply chain integration capabilities,,2006,MIS QUARTERLY,14,0.38095238095238093,8,7
834,An empirical analysis of the value of complete information for eCRM models,,2006,MIS QUARTERLY,17,0.7142857142857143,15,7
835,The effects of state-based and event-based data representation on user performance in query formulation tasks,,2006,MIS QUARTERLY,17,0.7,84,16
836,The impact of ideology on effectiveness in open source software development teams,,2006,MIS QUARTERLY,9,0.4666666666666667,7,6
837,"Plant information systems, manufacturing capabilities, and plant performance",,2006,MIS QUARTERLY,14,0.5,14,8
838,Managing peer-to-peer conflicts in disruptive information technology innovations: The case of software reuse,,2006,MIS QUARTERLY,19,0.2,2,5
839,Review: A review of culture in information systems research: Toward a theory of information technology culture conflict,,2006,MIS QUARTERLY,2,0.6666666666666666,10,6
840,Internet exchanges for used books: An empirical analysis of product cannibalization and welfare impact,,2006,INFORMATION SYSTEMS RESEARCH,14,0.32142857142857145,9,8
841,"When the wait isn't so bad: The interacting effects of website delay, familiarity, and breadth",,2006,INFORMATION SYSTEMS RESEARCH,16,0.26666666666666666,4,6
842,Conceptualizing systems for understanding: An empirical test of decomposition principles in object-oriented analysis,,2006,INFORMATION SYSTEMS RESEARCH,17,0.2857142857142857,8,8
843,An extended privacy calculus model for E-commerce transactions,,2006,INFORMATION SYSTEMS RESEARCH,4,0.8,12,6
844,Understanding conceptual schemas: Exploring the role of application and IS domain knowledge,,2006,INFORMATION SYSTEMS RESEARCH,2,0.3047619047619048,32,15
845,Turning a community into a market: A practice perspective on information technology use in boundary spanning,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,24,0.3333333333333333,1,3
846,Field experiences with eXtreme programming: Developing an emergency response system,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,24,0.0,0,2
847,Evaluating the adoption of enterprise application integration in health-care organizations,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,21,0.5714285714285714,52,1
848,An information systems security risk assessment model under the Dempster-Shafer theory of belief functions,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,9,0.4727272727272727,26,11
849,Collaborative activities in virtual settings: A knowledge management perspective of telemedicine,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,19,0.5,3,4
850,Digital inclusiveness - Longitudinal study of Internet adoption by older adults,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,32,0.7472527472527473,68,14
851,Interactions between system evaluation and theory testing: A demonstration of the power of a multifaceted approach to information systems research,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,24,0.1,1,5
852,Discovering cues to error detection in speech recognition output: A user-centered approach,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,23,0.5384615384615384,42,13
853,The market's perception of the transactional risks of information technology outsourcing announcements,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,9,0.8888888888888888,32,9
854,Exploring attribute correspondences across heterogeneous databases by mutual information,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,17,0.6166666666666667,74,16
855,The use of cognitive maps and case-based reasoning for B2B negotiation,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,6,1.0,6,4
856,The personalization privacy paradox: An empirical evaluation of information transparency and the willingness to be profiled online for personalization,,2006,MIS QUARTERLY,4,0.5,5,5
857,The role of cognitive fit in the relationship between software comprehension and modification,,2006,MIS QUARTERLY,18,0.32727272727272727,18,11
858,Performance effects of information technology synergies in multibusiness firms,,2006,MIS QUARTERLY,14,0.20261437908496732,31,18
859,The differential use and effect of knowledge-based system explanations in novice and expert judgment decisions,,2006,MIS QUARTERLY,3,0.9333333333333333,14,6
860,Unraveling the temporal fabric of knowledge conversion: A model of media selection and use,,2006,MIS QUARTERLY,4,0.8055555555555556,29,9
861,Understanding and predicting electronic commerce adoption: An extension of the theory of planned behavior,,2006,MIS QUARTERLY,11,0.6666666666666666,4,4
862,Incorporating software agents into supply chains: Experimental investigation with a procurement task,,2006,MIS QUARTERLY,29,0.5,3,4
863,Ethical decision making in software piracy: Initial development and test of a four-component model,,2006,MIS QUARTERLY,12,0.4444444444444444,16,9
864,Web and wireless site usability: Understanding differences and modeling use,,2006,MIS QUARTERLY,20,0.7692307692307693,60,13
865,A two-stage model of the promotional performance of pure online firms,,2005,INFORMATION SYSTEMS RESEARCH,16,0.4421052631578947,84,1
866,The impact of e-commerce on competition in the retail brokerage industry,,2005,INFORMATION SYSTEMS RESEARCH,11,0.3,3,5
867,"Psychological contract violation in online marketplaces: Antecedents, consequences, and moderating role",,2005,INFORMATION SYSTEMS RESEARCH,11,0.5909090909090909,39,12
868,Managing piracy: Pricing and sampling strategies for digital experience goods in vertically segmented markets,,2005,INFORMATION SYSTEMS RESEARCH,12,0.47619047619047616,10,7
869,Two competing perspectives on automatic use: A theoretical and empirical comparison,,2005,INFORMATION SYSTEMS RESEARCH,16,0.37777777777777777,17,10
870,"Involvement and decision-making performance with a decision aid: The influence of social multimedia, gender, and playfulness",,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,29,0.6818181818181818,45,12
871,"How presentation flaws affect perceived site quality, trust, and intention to purchase from an online store",,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,11,0.0,0,3
872,Investigating coherence and multimedia effects of a technology-mediated collaborative environment,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,32,0.4,18,10
873,Moderating effects of task type on wireless technology acceptance,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,21,0.7636363636363637,42,11
874,The role of knowledge repositories in technical support environments: Speed versus learning in user performance,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2,0.5380952380952381,113,21
875,An empirical examination of the influence of organizational culture on knowledge management practices,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2,0.6333333333333333,190,25
876,Dynamic knowledge patterns to inform design: A field study of knowledge stocks and flows in an extreme organization,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2,0.48726467331118495,440,43
877,Coauthorship dynamics and knowledge capital: The patterns of cross-disciplinary collaboration in information systems research,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,24,0.5833333333333334,21,9
878,An assessment of electronic information transfer in B2B supply-channel relationships,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,4,1.0,3,3
879,Information technology investment strategies under declining technology cost,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.2909090909090909,16,11
880,Negotiation support systems in budget negotiations: An experimental analysis,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,6,1.0,6,4
881,Taking industry seriously in information systems research,,2005,MIS QUARTERLY,14,0.47619047619047616,10,7
882,Zones of tolerance: Alternative scales for measuring information systems service quality,,2005,MIS QUARTERLY,16,0.3333333333333333,22,12
883,Information technology and the performance of the customer service process: A resource-based analysis,,2005,MIS QUARTERLY,14,0.3484848484848485,23,12
884,Managing client dialogues during information systems design to facilitate client learning,,2005,MIS QUARTERLY,32,0.6666666666666666,30,10
885,The effects of virtual reality on consumer learning: An empirical investigation,,2005,MIS QUARTERLY,14,0.3611111111111111,13,9
886,Intellectual property rights and cannibalization in information technology outsourcing contracts,,2005,MIS QUARTERLY,18,0.6428571428571429,18,8
887,The history of Texaco's corporate information technology function: A general systems theoretical interpretation,,2005,MIS QUARTERLY,30,0.25,7,8
888,Review: It-dependent strategic initiatives and sustained competitive advantage: A review and synthesis of the literature,,2005,MIS QUARTERLY,14,0.19444444444444445,7,9
889,IT human resource management configurations and IT turnover: Theoretical synthesis and empirical analysis,,2005,INFORMATION SYSTEMS RESEARCH,10,1.0,1,2
890,Maximizing accuracy of shared databases when concealing sensitive patterns,,2005,INFORMATION SYSTEMS RESEARCH,17,0.780952380952381,82,15
891,Web personalization as a persuasion strategy: An elaboration likelihood model perspective,,2005,INFORMATION SYSTEMS RESEARCH,4,0.3333333333333333,2,4
892,Optimal software development: A control theoretic approach,,2005,INFORMATION SYSTEMS RESEARCH,23,0.8611111111111112,31,9
893,On data reliability assessment in accounting information systems,,2005,INFORMATION SYSTEMS RESEARCH,16,0.19444444444444445,7,9
894,Offshore outsourcing: A dynamic causal model of counteracting forces,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,5,0.6043956043956044,55,0
895,Just right outsourcing: Understanding and managing risk,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,9,0.4725274725274725,43,14
896,Beyond the hype of frictionless markets: Evidence of heterogeneity in price rigidity on the Internet,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,18,0.5555555555555556,25,10
897,Effect of electronic secondary markets on the supply chain,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,13,0.4444444444444444,16,9
898,A pricing mechanism for digital content distribution over computer networks,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,18,0.6666666666666666,2,3
899,Buyer's efficient E-sourcing structure: Centralize or decentralize?,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,30,0.1,1,5
900,Information technology standards choices and industry structure outcomes: The case of the US home mortgage industry,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,13,0.6060606060606061,40,12
901,Person-job cognitive style fit for software developers: The effect on strain and performance,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,18,0.6071428571428571,17,8
902,The effect of communication frequency and channel richness on the convergence between chief executive and chief information officers,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,8,0.6,6,5
903,Types of information technology capabilities and their role in competitive advantage: An empirical study,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.16666666666666666,11,12
904,Information technology as an enabler of growth in firms: An empirical assessment,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.34615384615384615,27,13
905,The information systems identity crisis: Focusing on high-visibility and high-impact research,,2005,MIS QUARTERLY,24,0.4166666666666667,15,9
906,Model of adoption of technology in households: A baseline model test and extension incorporating household life cycle,,2005,MIS QUARTERLY,21,0.47435897435897434,37,13
907,Moving beyond intentions and toward the theory of trying: Effects of work environment and gender on post-adoption information technology use,,2005,MIS QUARTERLY,8,0.75,27,9
908,A multilevel model of resistance to information technology implementation,,2005,MIS QUARTERLY,30,0.6666666666666666,4,4
909,Understanding user responses to information technology: A coping model of user adaptation,,2005,MIS QUARTERLY,16,0.4444444444444444,20,10
910,A comprehensive conceptualization of post-adoptive behaviors associated with information technology enabled work systems,,2005,MIS QUARTERLY,16,0.09523809523809523,2,7
911,What happens after ERP implementation: Understanding the impact of interdependence and differentiation on plant-level outcomes,,2005,MIS QUARTERLY,11,0.8571428571428571,18,7
912,Collaborating on multiparty information systems development projects: A collective reflection-in-action view,,2005,INFORMATION SYSTEMS RESEARCH,9,0.5054945054945055,46,14
913,Lying on the Web: Implications for expert systems redesign,,2005,INFORMATION SYSTEMS RESEARCH,2,0.6944444444444444,25,9
914,"Is out of sight, out of mind? An empirical study of social loafing in technology-supported groups",,2005,INFORMATION SYSTEMS RESEARCH,25,0.5911330049261084,240,29
915,Toward comprehensive real-time bidder support in iterative combinatorial auctions,,2005,INFORMATION SYSTEMS RESEARCH,18,1.0,3,3
916,The economic incentives for sharing security information,,2005,INFORMATION SYSTEMS RESEARCH,9,0.6,6,5
917,Reputation mechanism design in Online trading environments with pure moral hazard,,2005,INFORMATION SYSTEMS RESEARCH,11,0.75,27,9
918,Expertise integration and creativity in information systems development,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,19,0.45454545454545453,25,11
919,Complexity of information systems development projects: Conceptualization and measurement development,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,16,0.7380952380952381,155,21
920,Measuring the performance of information systems: A functional scorecard,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,16,0.70995670995671,164,22
921,A multidimensional commitment model of volitional systems adoption and usage behavior,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,21,0.37777777777777777,17,10
922,Does information technology training really matter? A social information processing analysis of coworkers' influence on IT usage in the Workplace,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,21,0.5333333333333333,8,6
923,"Financial performance, CEO compensation, and large-scale information technology Outsourcing decisions",,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,9,0.8888888888888888,32,9
924,The relationship of E-commerce competence to customer value and firm performance: An empirical investigation,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.24242424242424243,16,12
925,Information processing view of organizations: An exploratory examination of fit in the context of interorganizational relationships,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.6,9,6
926,A game-theoretic model of E-marketplace participation growth,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,11,0.5,39,13
927,Effects of relational factors and channel climate on EDI usage in the customer-supplier relationship,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,13,0.6818181818181818,45,12
928,"Examining the role of ""Free"" product-augmenting Online services in pricing and customer retention strategies",,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.13333333333333333,2,6
929,A sender-receiver framework for knowledge transfer,,2005,MIS QUARTERLY,2,0.6066066066066066,404,37
930,Effective use of knowledge management systems: A process model of content ratings and credibility indicators,,2005,MIS QUARTERLY,2,1.0,15,6
931,"Knowledge acquisition via three learning processes in enterprise information portals: Learning-by-investment, learning-by-doing, and learning-from-others",,2005,MIS QUARTERLY,2,0.6296296296296297,221,27
932,Assessing value in organizational knowledge creation: Considerations for knowledge workers,,2005,MIS QUARTERLY,2,0.6924731182795699,322,31
933,"Information technology relatedness, knowledge management capability, and performance of multibusiness firms",,2005,MIS QUARTERLY,14,0.45454545454545453,25,11
934,The emergence of boundary spanning competence in practice. implications for implementation and use of information systems,,2005,MIS QUARTERLY,19,0.3333333333333333,1,3
935,Running in packs to develop knowledge-intensive technologies,,2005,MIS QUARTERLY,14,0.0,0,5
936,Perceived individual collaboration know-how development through information technology-enabled contextualization: Evidence from distributed teams,,2005,INFORMATION SYSTEMS RESEARCH,19,0.3333333333333333,12,9
937,The value of intrusion detection systems in information technology security architecture,,2005,INFORMATION SYSTEMS RESEARCH,9,1.0,3,3
938,Competition among sellers in online exchanges,,2005,INFORMATION SYSTEMS RESEARCH,11,0.5512820512820513,43,13
939,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,,2005,INFORMATION SYSTEMS RESEARCH,14,0.4,4,5
940,A theoretical integration of user satisfaction and technology acceptance,,2005,INFORMATION SYSTEMS RESEARCH,21,0.34545454545454546,19,11
941,Assessing the Digital Rosetta Stone model for long-term access to digital documents,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,21,0.6105263157894737,116,1
942,Genetic programming-based discovery of ranking functions for effective Web search,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,31,0.38095238095238093,8,7
943,A visual framework for knowledge discovery on the Web: An empirical study of business intelligence exploration,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.7142857142857143,65,14
944,Data mining with combined use of optimization techniques and self-organizing maps for improving risk grouping rules: Application to prostate cancer patients,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,9,0.4666666666666667,7,6
945,"Design, implementation, and evaluation of trust-supporting components in virtual communities for patients",,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,11,0.7575757575757576,50,12
946,Negotiation in technology landscapes: An actor-issue analysis,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,6,1.0,6,4
947,Choice of transaction channels: The effects of product characteristics on market evolution,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,11,0.35294117647058826,48,17
948,Antecedents of information and system quality: An empirical examination within the context of data warehousing,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,18,0.24444444444444444,11,10
949,Effect of information systems resources and capabilities on firm performance: A resource-based perspective,,2005,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.3333333333333333,26,13
950,Vicious and virtuous circles in the management of knowledge: The case of Infosys Technologies,,2005,MIS QUARTERLY,2,0.4753787878787879,251,33
951,Why should I share? Examining social capital and knowledge contribution in electronic networks of practice,,2005,MIS QUARTERLY,21,0.7142857142857143,15,7
952,Antecedents of knowledge transfer from consultants to clients in enterprise system implementations,,2005,MIS QUARTERLY,11,0.47368421052631576,81,19
953,"Behavioral intention formation in knowledge sharing: Examining the roles of extrinsic motivators, social-psychological forces, and organizational climate",,2005,MIS QUARTERLY,2,0.61,183,25
954,Contributing knowledge to electronic knowledge repositories: An empirical investigation,,2005,MIS QUARTERLY,2,0.7362637362637363,67,14
955,Absorptive capacity configurations in supply chains: Gearing for partner-enabled market knowledge creation,,2005,MIS QUARTERLY,14,1.0,3,3
956,Toward an integration of agent- and activity-centric approaches in organizational process modeling: Incorporating incentive mechanisms,,2004,INFORMATION SYSTEMS RESEARCH,23,0.3076923076923077,24,13
957,"Internet users' information privacy concerns (IUIPC): Tthe construct, the scale, and a causal model",,2004,INFORMATION SYSTEMS RESEARCH,4,0.6666666666666666,14,7
958,IT outsourcing success: A psychological contract perspective,,2004,INFORMATION SYSTEMS RESEARCH,13,0.3333333333333333,1,3
959,Deploying common systems globally: The dynamics of control,,2004,INFORMATION SYSTEMS RESEARCH,7,0.8,12,6
960,A decision model for software maintenance,,2004,INFORMATION SYSTEMS RESEARCH,18,0.35,42,16
961,Coordinating for flexibility in e-business supply chains,,2004,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.2,3,6
962,Determinants of sourcing during technology growth and maturity: An empirical study of e-commerce sourcing,,2004,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,30,1.0,3,3
963,Health of electronic communities: An evolutionary game approach,,2004,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,4,0.6444444444444445,29,10
964,Virtual product experience: Effects of visual and functional control of products on perceived diagnosticity and flow in electronic shopping,,2004,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.0,0,2
