id,label,DE,PY,SO,TC
42,What Motivates People to Purchase Digital Items on Virtual Community Websites? The Desire for Online Self-Presentation,digital item purchase; virtual community; desire for online self-presentation; VC norms; VC involvement; online presentation self-efficacy,2012,INFORMATION SYSTEMS RESEARCH,29
43,Two Worlds of Trust for Potential E-Commerce Users: Humans as Cognitive Misers,accessibility-diagnosticity; bounded rationality; humans as cognitive misers; piecewise regression; task-technology fit; trust; web aesthetics,2012,INFORMATION SYSTEMS RESEARCH,15
44,Real-Time Tactical and Strategic Sales Management for Intelligent Agents Guided by Economic Regimes,enabling technologies; agent-mediated electronic commerce; dynamic pricing; price forecasting; economic regimes; supply chain; dynamic markets; trading agent competition,2012,INFORMATION SYSTEMS RESEARCH,8
45,Effects of the Presence of Organic Listing in Search Advertising,organic listing; sponsored bidding; search advertising; information structure; asymmetric differentiation; price competition,2012,INFORMATION SYSTEMS RESEARCH,10
46,"Network Neutrality and Congestion Sensitive Content Providers: Implications for Content Variety, Broadband Investment, and Regulation",telecommunications; net neutrality; quality of service; content variety; investment; regulation,2012,INFORMATION SYSTEMS RESEARCH,18
47,Underlying Consumer Heterogeneity in Markets for Subscription-Based IT Services with Network Effects,subscription-based IT services; consumer utility models; consumer information awareness; network effects,2012,INFORMATION SYSTEMS RESEARCH,7
48,"Effects of Individual Self-Protection, Industry Self-Regulation, and Government Regulation on Privacy Concerns: A Study of Location-Based Services",privacy; context-specific concerns for information privacy; psychological control; control agency; individual self-protection; industry self-regulation; and government regulation,2012,INFORMATION SYSTEMS RESEARCH,32
49,Analyzing Pricing Strategies for Online Services with Network Effects,bundling; network effects; price discrimination; online services; online game industry,2012,INFORMATION SYSTEMS RESEARCH,4
50,BIDDING BEHAVIOR EVOLUTION IN SEQUENTIAL AUCTIONS: CHARACTERIZATION AND ANALYSIS,Sequential online auctions; bidding behavior; bidding strategies; auction design,2012,MIS QUARTERLY,4
51,"INFORMATION TECHNOLOGY OUTSOURCING, KNOWLEDGE TRANSFER, AND FIRM PRODUCTIVITY: AN EMPIRICAL ANALYSIS",IT outsourcing; productivity; knowledge transfer,2012,MIS QUARTERLY,18
52,IMPACT OF USER SATISFACTION WITH MANDATED CRM USE ON EMPLOYEE SERVICE QUALITY,User satisfaction; mandatory use; customer relationship management systems; employee service quality; job dedication; embodied service knowledge; task performance,2012,MIS QUARTERLY,9
53,DIALECTICS OF COLLECTIVE MINDING: CONTRADICTORY APPROPRIATIONS OF INFORMATION TECHNOLOGY IN A HIGH-RISK PROJECT,Collective minding; collective mindfulness; high-reliability organizations (HROs); complex socio-technical systems; dialectics; IT affordances; IT capabilities; technology-in-practice,2012,MIS QUARTERLY,15
54,GROWTH AND SUSTAINABILITY OF MANAGED SECURITY SERVICES NETWORKS: AN ECONOMIC PERSPECTIVE,Information security; managed security services; outsourcing; network effects; network growth; network ownership structure,2012,MIS QUARTERLY,5
55,THE EFFECTIVENESS OF ONLINE SHOPPING CHARACTERISTICS AND WELL-DESIGNED WEBSITES ON SATISFACTION,Product uncertainty; retailer visibility; service quality; website design; customer satisfaction; search goods; experience goods; archival data,2012,MIS QUARTERLY,24
56,DOES INFORMATION TECHNOLOGY INVESTMENT INFLUENCE A FIRM'S MARKET VALUE? A CASE OF NON-PUBLICLY TRADED HEALTHCARE FIRMS,IT payoff; firm valuation; non-publicly traded hospitals; NPT; health care; firm performance; market value,2012,MIS QUARTERLY,13
57,BUSINESS INTELLIGENCE AND ANALYTICS: FROM BIG DATA TO BIG IMPACT,Business intelligence and analytics; big data analytics; Web 2.0,2012,MIS QUARTERLY,292
58,BUSINESS INTELLIGENCE IN BLOGS: UNDERSTANDING CONSUMER INTERACTIONS AND COMMUNITIES,Business intelligence; Web mining; blog mining; social networks; design science,2012,MIS QUARTERLY,33
59,A SOCIAL NETWORK-BASED INFERENCE MODEL FOR VALIDATING CUSTOMER PROFILE DATA,Customer profile; data quality; business intelligence; inference model; social network; query processing system; simulation experiment,2012,MIS QUARTERLY,12
60,WEB 2.0 ENVIRONMENTAL SCANNING AND ADAPTIVE DECISION SUPPORT FOR BUSINESS MERGERS AND ACQUISITIONS,Domain-specific sentiment analysis; business relation mining; statistical learning; evolutionary learning; business intelligence; Web 2.0; mergers and acquisitions,2012,MIS QUARTERLY,12
61,NETWORK-BASED MODELING AND ANALYSIS OF SYSTEMIC RISK IN BANKING SYSTEMS,Systemic risk; contagious bank failures; business intelligence; simulation,2012,MIS QUARTERLY,9
62,METAFRAUD: A META-LEARNING FRAMEWORK FOR DETECTING FINANCIAL FRAUD,Fraud detection; financial statement fraud; feature construction; meta-learning; business intelligence; design science,2012,MIS QUARTERLY,19
63,A HIDDEN MARKOV MODEL FOR COLLABORATIVE FILTERING,Recommender systems; collaborative filtering; changing preference; dynamic models; latent class model,2012,MIS QUARTERLY,14
64,Network Positions and Contributions to Online Public Goods: The Case of Chinese Wikipedia,effort allocation; mass collaboration; natural experiment; network centrality; online public goods; Wikipedia,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,12
65,Content Contribution for Revenue Sharing and Reputation in Social Media: A Dynamic Structural Model,content contribution; contribution motivation; dynamic structural model; reputation; revenue sharing; social media; YouTube,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,12
66,"Hacker Behavior, Network Effects, and the Security Software Market",market structure; mass attacks; negative network effect; network effect; oligopoly; pricing; security software; strategic hacker; targeted attacks,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,6
67,Co-opetition Between Differentiated Platforms in Two-Sided Markets,competitive strategy; co-opetition; game theory; network sharing; platform interconnections; technology platforms; two-sided markets,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,8
68,Theory and Analysis of Company-Sponsored Value Co-Creation,brainstorming; co-creation; contribution quality; sustained participation,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,15
69,A Data-Driven Approach to Measure Web Site Navigability,data-driven navigability metrics; Web metrics; Web mining; Web site navigability; Web site navigation,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,5
70,Hybrid Relational-Contractual Governance for Business Process Outsourcing,business process outsourcing; controls; formal contract; hybrid governance; relational governance; services,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,12
71,Dual Role of IT-Assisted Communication in Patient Care: A Validated Structure-Process-Outcome Framework,business value of IT; health information technology; operational IT; strategic IT; structure-process-outcome,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,3
72,Understanding Contingencies Associated with the Early Adoption of Customer-Facing Web Portals,adoption of innovations; bivariate probit with sample selection; demand contingencies; factors of adoption; learning externality contingencies; patient portals; service contingencies; Web portals,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,8
73,Resource Structuring or Capability Building? An Empirical Study of the Business Value of Information Technology,business value of IT; capability building; competitive strategy; core competence; environmental dynamism; resource structuring,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,19
74,The Productivity of Information Technology Investments: New Evidence from IT Labor Data,business value of IT; economics of IS; econometrics; productivity; IT labor,2012,INFORMATION SYSTEMS RESEARCH,19
75,An Empirical Analysis of the Contractual and Information Structures of Business Process Outsourcing Relationships,BPO; outsourcing; governance; contractual structure; information structure; coordination; information processing; performance,2012,INFORMATION SYSTEMS RESEARCH,12
76,Postrelease Testing and Software Release Policy for Enterprise-Level Systems,software reliability; market opportunity cost; market uncertainty; learning; Bayes risk principle,2012,INFORMATION SYSTEMS RESEARCH,3
77,The Effects of Social Network Structure on Enterprise Systems Success: A Longitudinal Multilevel Analysis,enterprise systems; postimplementation; information exchange; learning; social networks,2012,INFORMATION SYSTEMS RESEARCH,13
78,"What's in a ""Name""? Impact of Use of Customer Information in E-Mail Advertisements",personalization; privacy; information use; hierarchical Bayesian model,2012,INFORMATION SYSTEMS RESEARCH,3
79,From Business Intelligence to Competitive Intelligence: Inferring Competitive Measures Using Augmented Site-Centric Data,business intelligence; competitive intelligence; competitive measures; probability models; NBD/Dirichlet,2012,INFORMATION SYSTEMS RESEARCH,5
80,Does the Web Reduce Customer Service Cost? Empirical Evidence from a Call Center,self-service; call center; customer support; Web portal; multichannel service management; health insurance,2012,INFORMATION SYSTEMS RESEARCH,10
81,Electronic Health Records Assimilation and Physician Identity Evolution: An Identity Theory Perspective,assimilation; careprovider identity; EHR; electronic health records; health informatics; health IT; identity deterioration; identity reinforcement; identity theory; physician community identity; physician practices; professional identity; role identity; self-categorization theory; social identity; social identity theory,2012,INFORMATION SYSTEMS RESEARCH,11
82,Design Principles of Integrated Information Platform for Emergency Responses: The Case of 2008 Beijing Olympic Games,emergency response; fire safety; Olympic games; situation-awareness oriented design; participatory design; action research; integrated information platform,2012,INFORMATION SYSTEMS RESEARCH,4
83,"In Search of Efficient Flexibility: Effects of Software Component Granularity on Development Effort, Defects, and Customization Effort",modular design; model-driven development; component-based software development; efficiency; flexibility; complexity; component granularity; software engineering; project performance,2012,INFORMATION SYSTEMS RESEARCH,3
84,Pricing Models for Online Advertising: CPM vs. CPC,online advertising; cost per impression (CPM); cost per click (CPC); pricing models; asymmetric information; delegation; principal agent model,2012,INFORMATION SYSTEMS RESEARCH,2
85,A Computational Analysis of Bundle Trading Markets Design for Distributed Resource Allocation,electronic markets and auctions; electronic commerce; resource allocation; computational experiment; simulation,2012,INFORMATION SYSTEMS RESEARCH,4
86,"Information, Technology, and Information Worker Productivity",social networks; productivity; information worker; IT; multitasking; dynamic panel data; system GMM,2012,INFORMATION SYSTEMS RESEARCH,19
87,The Impact of IT-Related Spillovers on Long-Run Productivity: An Empirical Analysis,long-run productivity; business value of IT; economics of IS; spillovers,2012,INFORMATION SYSTEMS RESEARCH,10
88,The Learning Curve of IT Knowledge Workers in a Computing Call Center,computing call center; learning curves; knowledge transfer; IT problem type; knowledge classification,2012,INFORMATION SYSTEMS RESEARCH,2
89,Advertising Strategies in Electronic Retailing: A Differential Games Approach,IT capacity; advertising; optimal control theory; differential game; reneging; Nash equilibrium,2012,INFORMATION SYSTEMS RESEARCH,1
90,Institutional Influences on Information Systems Security Innovations,administrative innovation; information security management; institutional theories; adoption and assimilation; economic; organizational; IT capability factors,2012,INFORMATION SYSTEMS RESEARCH,7
91,The Boundaries of Trust and Risk: The Quadratic Moderating Role of Institutional Structures,online marketplaces; trust; risk; institutional structures; quadratic moderating effects; polynomial regression; response surface methodology,2012,INFORMATION SYSTEMS RESEARCH,20
92,Content Provision Strategies in the Presence of Content Piracy,content provision and distribution; delivery delay; content piracy; P2P networks,2012,INFORMATION SYSTEMS RESEARCH,4
93,Putting Money Where the Mouths Are: The Relation Between Venture Financing and Electronic Word-of-Mouth,electronic word-of-mouth; blogs; venture funding; VC funding,2012,INFORMATION SYSTEMS RESEARCH,14
94,The Cross-Purposes of Cross-Posting: Boundary Reshaping Behavior in Online Discussion Communities,online communities; virtual communities; boundaries; social computing; design,2012,INFORMATION SYSTEMS RESEARCH,11
95,Using Real Options to Investigate the Market Value of Virtual World Businesses,virtual world investments; value creation; real options; strategic importance; divisibility; exploitative absorptive capacity; event study,2012,INFORMATION SYSTEMS RESEARCH,4
96,Performance-Based Advertising: Advertising as Signals of Product Quality,performance-based pricing; advertising; signaling; sponsored search; quality,2012,INFORMATION SYSTEMS RESEARCH,4
97,Do Electronic Linkages Reduce the Bullwhip Effect? An Empirical Analysis of the US Manufacturing Supply Chains,supply chain management; bullwhip effect; information technology; electronic markets; empirical operations; econometrics,2012,INFORMATION SYSTEMS RESEARCH,11
98,"Music Blogging, Online Sampling, and the Long Tail",blogs; social interactions; observational learning; word of mouth; long tail; music industry; social media,2012,INFORMATION SYSTEMS RESEARCH,15
99,The Cost Impact of Spam Filters: Measuring the Effect of Information System Technologies in Organizations,spam; spam filter; selection bias; propensity score matching,2012,INFORMATION SYSTEMS RESEARCH,1
100,ON THE USE OF NEUROPHYSIOLOGICAL TOOLS IN IS RESEARCH: DEVELOPING A RESEARCH AGENDA FOR NEUROIS,NeuroIS; neuroscience; neurophysiological tools; psychophysiological tools; neuroimaging,2012,MIS QUARTERLY,40
101,"COMPARING PLS TO REGRESSION AND LISREL: A RESPONSE TO MARCOULIDES, CHIN, AND SAUNDERS",Comparing statistical techniques; partial least squares; structural equation modeling; regression; Monte Carlo simulation,2012,MIS QUARTERLY,17
102,"GENERALIZATION AND INDUCTION: MISCONCEPTIONS, CLARIFICATIONS, AND A CLASSIFICATION OF INDUCTION",Research methodology; generalization; generalizability; induction; deduction; statistical generalization; statistical syllogism; inductive analogy; Hume's problem of induction,2012,MIS QUARTERLY,15
103,CONCEPTUALIZING GENERALIZABILITY: NEW CONTRIBUTIONS AND A REPLY,Research approach; philosophical approach; philosophy; reference theory; type of theory,2012,MIS QUARTERLY,11
104,THE ROLES OF THEORY IN CANONICAL ACTION RESEARCH,Canonical action research; instrumental theory; focal theory; principles and criteria; knowledge management; knowledge sharing; culture; organizational change,2012,MIS QUARTERLY,11
105,PRINCIPLES FOR CONDUCTING CRITICAL REALIST CASE STUDY RESEARCH IN INFORMATION SYSTEMS,Critical realism; case study research; methodology; philosophy; causal explanation,2012,MIS QUARTERLY,29
106,HOW TO CONDUCT A FUNCTIONAL MAGNETIC RESONANCE (FMRI) STUDY IN SOCIAL SCIENCE RESEARCH,fMRI; decision neuroscience; neuroIS; brain imaging,2012,MIS QUARTERLY,18
107,BUILDING MEMBER ATTACHMENT IN ONLINE COMMUNITIES: APPLYING THEORIES OF GROUP IDENTITY AND INTERPERSONAL BONDS,Online community; group identity; interpersonal bonds; attachment; participation,2012,MIS QUARTERLY,61
108,A KNOWLEDGE-BASED MODEL OF RADICAL INNOVATION IN SMALL SOFTWARE FIRMS,Absorptive capacity; knowledge base models; routines; organization knowledge base; IT innovation; innovation ecology; Internet computing; mediation,2012,MIS QUARTERLY,28
109,INFORMATION TECHNOLOGY IMPLEMENTERS' RESPONSES TO USER RESISTANCE: NATURE AND EFFECTS,User resistance; information technology implementation; implementers' response; theory building; case survey; set-theoretic analysis,2012,MIS QUARTERLY,16
110,STANDARDS COMPETITION IN THE PRESENCE OF DIGITAL CONVERSION TECHNOLOGY: AN EMPIRICAL ANALYSIS OF THE FLASH MEMORY CARD MARKET,Network effects; network externalities; standards competition; conversion technologies; flash memory; digital goods; market competition,2012,MIS QUARTERLY,0
111,A RESEARCH NOTE ON REPRESENTING PART-WHOLE RELATIONS IN CONCEPTUAL MODELING,Conceptual modeling; empirical research; ontology; information systems development; composition; UML; entity-relationship model,2012,MIS QUARTERLY,2
112,THE HOLE IN THE WHOLE: A RESPONSE TO ALLEN AND MARCH,Conceptual modeling; empirical research; ontology; information systems development; aggregation; composition; UML; entity-relationship model,2012,MIS QUARTERLY,2
113,DOES PLS HAVE ADVANTAGES FOR SMALL SAMPLE SIZE OR NON-NORMAL DATA?,Partial least squares; PLS; regression; structural equation modeling; statistical power; small sample size; non-normal distributions; Monte Carlo simulation,2012,MIS QUARTERLY,29
114,ASSESSING COMMON METHOD BIAS: PROBLEMS WITH THE ULMC TECHNIQUE,Common method bias; unmeasured latent method construct; partial least squares; structural equation modeling,2012,MIS QUARTERLY,31
115,Novelty-Knowledge Alignment: A Theory of Design Convergence in Systems Development,design convergence; iteration; novelty; oscillations; peripheral knowledge; systems development,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,7
116,The Effect of an Initial Budget and Schedule Goal on Software Project Escalation,escalation of commitment; goal setting theory; mental budgeting; project estimation; software project escalation; software project management; sunk cost,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,7
117,"What's the Weather Like? The Effect of Team Learning Climate, Empowerment Climate, and Gender on Individuals' Technology Exploration and Use",collaboration technology; intention to explore; multilevel research; postadoption use; team climate; team technology use; usage scope,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,10
118,Contract Performance in Offshore Systems Development: Role of Control Mechanisms,contract performance; control mechanisms; control modes; control theory; interaction effects; offshoring; outsourcing; project governance; software development,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,19
119,The Impact of Information Technology Investments on Downside Risk of the Firm: Alternative Measurement of the Business Value of IT,downside risk; IT investment; IT strategic role; real options perspective; resource-based view of the firm,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,11
120,Vertical Differentiation and a Comparison of Online Advertising Models,ad-supported business models; e-commerce; economic analysis; game theory; online advertising; vertical differentiation,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,3
121,Differential Effects of Provider Recommendations and Consumer Reviews in E-Commerce Transactions: An Experimental Study,consumer reviews; e-commerce; online product recommendations; perceived affective quality; perceived usefulness; provider recommendations; technology acceptance and usage; trusting beliefs,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,33
122,Attracted to or Locked In? Predicting Continuance Intention in Social Virtual World Services,commitment; continuance intention; dedication-constraint dual model; Second Life; social virtual world services,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,33
123,The Effects of Self-Regulated Learning Processes on E-Learning Outcomes in Organizational Settings,e-learning; job training; learning outcomes; learning processes; self-regulated learning strategies; social cognitive theory,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,12
124,Cost-Sensitive Learning via Priority Sampling to Improve the Return on Marketing and CRM Investment,cost-sensitive learning; customer relationship management; direct marketing; forecasting; priority sampling,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,1
125,Are New IT-Enabled Investment Opportunities Diminishing for Firms?,"information technology industry; business value of IT; event study; stock price volatility; financial market evaluation; IT and firm performance, macroeconomic news; IT value",2012,INFORMATION SYSTEMS RESEARCH,5
126,"Blog, Blogger, and the Firm: Can Negative Employee Posts Lead to Positive Outcomes?",blog; employee blogs; bloggers; attribution theory; nonlinear models; negative posts; influence,2012,INFORMATION SYSTEMS RESEARCH,14
127,Ambidexterity in Agile Distributed Development: An Empirical Investigation,agile development; ambidexterity; distributed development; qualitative case study,2012,INFORMATION SYSTEMS RESEARCH,16
128,Relative Industry Concentration and Customer-Driven IT Spillovers,business value of IT; IT-enabled supply chains; economics of IS; spillovers; production function framework; input-output tables; industry concentration,2012,INFORMATION SYSTEMS RESEARCH,9
129,Cooperative Cashing? An Economic Analysis of Document Duplication in Cooperative Web Caching,Web caching; cooperative caching; duplication in caching; analytical modeling; incentive-centered design; game theory,2012,INFORMATION SYSTEMS RESEARCH,1
130,Institutional Contradictions and Loose Coupling: Postimplementation of NASA's Enterprise Information System,institutional pluralism; institutional contradiction; institutional logic; institutional theory; loose coupling; loosely coupled; enterprise systems; ERP; NASA,2012,INFORMATION SYSTEMS RESEARCH,22
