,id,TI
288,288,COMPETING PERSPECTIVES ON THE LINK BETWEEN STRATEGIC INFORMATION TECHNOLOGY ALIGNMENT AND ORGANIZATIONAL AGILITY: INSIGHTS FROM A MEDIATION MODEL
289,289,"CIO REPORTING STRUCTURE, STRATEGIC POSITIONING, AND FIRM PERFORMANCE"
290,290,CAPTURING BOTTOM-UP INFORMATION TECHNOLOGY USE PROCESSES: A COMPLEX ADAPTIVE SYSTEMS MODEL
291,291,An Analysis of Incentives for Network Infrastructure Investment Under Different Pricing Strategies
292,292,Addressing Digital Inequality for the Socioeconomically Disadvantaged Through Government Initiatives: Forms of Capital That Affect ICT Utilization
293,293,The Effect of Online Privacy Information on Purchasing Behavior: An Experimental Study
294,294,Using Transaction Prices to Re-Examine Price Dispersion in Electronic Markets
295,295,Vendor and Client Interaction for Requirements Assessment in Software Development: Implications for Feedback Process
296,296,Contracting Efficiency and New Firm Survival in Markets Enabled by Information Technology
297,297,Analyzing Sharing in Peer-to-Peer Networks Under Various Congestion Measures
298,298,An Experimental Comparison of Linear and Nonlinear Price Combinatorial Auctions
299,299,Information Technology and Firm Boundaries: Impact on Firm Risk and Return Performance
300,300,Environmental Uncertainty and IT Infrastructure Governance: A Curvilinear Relationship
301,301,"Punishment, Justice, and Compliance in Mandatory IT Settings"
302,302,Product Reviews and Competition in Markets for Repeat Purchase Products
303,303,Drivers of the Long Tail Phenomenon: An Empirical Analysis
304,304,Information Quality in Wikipedia: The Effects of Group Composition and Task Conflict
305,305,Influence of Industry Characteristics on Information Technology Outsourcing
306,306,Productivity and Performance Effects of Business Process Reengineering: A Firm-Level Analysis
307,307,Privacy Concerns Versus Desire for Interpersonal Awareness in Driving the Use of Self-Disclosure Technologies: The Case of Instant Messaging in Two Cultures
308,308,The Impact of Network Externalities on the Competition Between Open Source and Proprietary Software
309,309,Consumer Acceptance of Recommendations by Interactive Decision Aids: The Joint Role of Temporal Distance and Concrete Versus Abstract Communications
310,310,Mitigating Vendor Silence in Offshore Outsourcing: An Empirical Investigation
311,311,Individual Virtual Competence and Its Influence on Work Outcomes
312,312,Managing the Versions of a Software Product Under Variable and Endogenous Demand
313,313,Firms as Incubators of Open-Source Software
314,314,Examining the Strategic Alignment and Implementation Success of a KMS: A Subculture-Based Multilevel Analysis
315,315,The Debate on Net Neutrality: A Policy Perspective
316,316,Price Formats as a Source of Price Dispersion: A Study of Online and Offline Prices in the Domestic US Airline Markets
317,317,REQUEST: A Query Language for Customizing Recommendations
318,318,A Finite Mixture Logit Model to Segment and Predict Electronic Payments System Adoption
319,319,Profiting from Knowledge Management: The Impact of Time and Experience
320,320,"Competing ""Creatively"" in Sponsored Search Markets: The Effect of Rank, Differentiation Strategy, and Competition on Performance"
321,321,Conceptualizing and Testing a Social Cognitive Model of the Digital Divide
322,322,Compatibility and Proprietary Standards: The Impact of Conversion Technologies in IT Markets with Network Effects
323,323,PROFILING THE RESEARCH PRODUCTIVITY OF TENURED INFORMATION SYSTEMS FACULTY AT US INSTITUTIONS
324,324,A SET OF PRINCIPLES FOR CONDUCTING CRITICAL RESEARCH IN INFORMATION SYSTEMS
325,325,ACTION DESIGN RESEARCH
326,326,DO ONTOLOGICAL DEFICIENCIES IN MODELING GRAMMARS MATTER?
327,327,PRICE DISCRIMINATION IN E-COMMERCE? AN EXAMINATION OF DYNAMIC PRICING IN NAME-YOUR-OWN PRICE MARKETS
328,328,STUCK IN THE CONFLICTED MIDDLE: A ROLE-THEORETIC PERSPECTIVE ON B2B E-MARKETPLACES
329,329,"WHEN FLEXIBLE ROUTINES MEET FLEXIBLE TECHNOLOGIES: AFFORDANCE, CONSTRAINT, AND THE IMBRICATION OF HUMAN AND MATERIAL AGENCIES"
330,330,PRODUCT-RELATED DECEPTION IN E-COMMERCE: A THEORETICAL PERSPECTIVE
331,331,TRANSDISCIPLINARY PERSPECTIVES ON ENVIRONMENTAL SUSTAINABILITY: A RESOURCE BASE AND FRAMEWORK FOR IT-ENABLED BUSINESS TRANSFORMATION
332,332,HOW INFORMATION MANAGEMENT CAPABILITY INFLUENCES FIRM PERFORMANCE
333,333,THE EFFECTS OF TREE-VIEW BASED PRESENTATION ADAPTATION ON MOBILE WEB BROWSING
334,334,Sponsored Search and Market Efficiency
335,335,"Cooperation, Coordination, and Governance in Multisourcing: An Agenda for Analytical and Empirical Research"
336,336,"Virtual Worlds: A Performative Perspective on Globally Distributed, Immersive Work"
337,337,Seeking the Configurations of Digital Ecodynamics: It Takes Three to Tango
338,338,Let's Shop Online Together: An Empirical Investigation of Collaborative Online Shopping Support
339,339,The Interaction Between Knowledge Codification and Knowledge-Sharing Networks
340,340,Organizational Learning and Capabilities for Onshore and Offshore Business Process Outsourcing
341,341,The Disruptive Effect of Open Platforms on Markets for Wireless Services
342,342,Oligopolistic Pricing with Online Search
343,343,Information Asymmetry in Information Systems Consulting: Toward a Theory of Relationship Constraints
344,344,Developer Heterogeneity and Formation of Communication Networks in Open Source Software Projects
345,345,Task and Social Information Seeking: Whom Do We Prefer and Whom Do We Approach?
346,346,"Bidding Patterns, Experience, and Avoiding the Winner's Curse in Online Auctions"
347,347,Entertainment Without Borders: The Impact of Digital Technologies on Government Cultural Policy
348,348,"Platform Evolution: Coevolution of Platform Architecture, Governance, and Environmental Dynamics"
349,349,Designing Smart Markets
350,350,"The Design, Use, and Consequences of Virtual Processes"
351,351,Digital Natives and Ubiquitous Information Systems
352,352,The New Organizing Logic of Digital Innovation: An Agenda for Information Systems Research
353,353,Long Tails vs. Superstars: The Effect of Information Technology on Product Variety and Sales Concentration Patterns
354,354,Digital Infrastructures: The Missing IS Research Agenda
355,355,Vigilant Interaction in Knowledge Collaboration: Challenges of Online User Participation Under Ambivalence
356,356,The Digital Transformation of Healthcare: Current Status and the Road Ahead
357,357,Reframing the Dominant Quests of Information Systems Strategy Research for Complex Adaptive Business Systems
358,358,"Alliances, Rivalry, and Firm Performance in Enterprise Systems Software Markets: A Social Network Approach"
359,359,Understanding Willingness-to-Pay Formation of Repeat Bidders in Sequential Online Auctions
360,360,Complementarities in the Diffusion of Personal Computers and the Internet: Implications for the Global Digital Divide
361,361,Applying the Randomized Response Technique to Elicit Truthful Responses to Sensitive Questions in IS Research: The Case of Software Piracy Behavior
362,362,The Role of Organizational Controls and Boundary Spanning in Software Development Outsourcing: Implications for Project Performance
363,363,Mapping the Field of Virtual Work: A Cocitation Analysis
364,364,Regulation of Digital Businesses with Natural Monopolies or Third-Party Payment Business Models: Antitrust Lessons from the Analysis of Google
365,365,Impact of Technostress on End-User Satisfaction and Performance
366,366,FOCUS AND DIVERSITY IN INFORMATION SYSTEMS RESEARCH: MEETING THE DUAL DEMANDS OF A HEALTHY APPLIED DISCIPLINE
367,367,WEB 2.0 AND POLITICS: THE 2008 US PRESIDENTIAL ELECTION AND AN E-POLITICS RESEARCH AGENDA
368,368,THE OTHER SIDE OF ACCEPTANCE: STUDYING THE DIRECT AND INDIRECT EFFECTS OF EMOTIONS ON INFORMATION TECHNOLOGY USE
369,369,AFFECT IN WEB INTERFACES: A STUDY OF THE IMPACTS OF WEB PAGE VISUAL COMPLEXITY AND ORDER
370,370,UNDERSTANDING ORGANIZATION-ENTERPRISE SYSTEM FIT: A PATH TO THEORIZING THE INFORMATION TECHNOLOGY ARTIFACT
371,371,IMPROVING EMPLOYEES' COMPLIANCE THROUGH INFORMATION SYSTEMS SECURITY TRAINING: AN ACTION RESEARCH STUDY
372,372,AN ALTERNATIVE TO METHODOLOGICAL INDIVIDUALISM: A NON-REDUCTIONIST APPROACH TO STUDYING TECHNOLOGY ADOPTION BY GROUPS
373,373,PRICE EFFECTS IN ONLINE PRODUCT REVIEWS: AN ANALYTICAL MODEL AND EMPIRICAL ANALYSIS
374,374,TOWARD ETHICAL INFORMATION SYSTEMS: THE CONTRIBUTION OF DISCOURSE ETHICS
375,375,"THE IMPACT OF INFORMATION TECHNOLOGY AND TRANSACTIVE MEMORY SYSTEMS ON KNOWLEDGE SHARING, APPLICATION, AND TEAM PERFORMANCE: A FIELD STUDY"
376,376,Safe Contexts for Interorganizational Collaborations Among Homeland Security Professionals
377,377,Systems Development Ambidexterity: Explaining the Complementary and Substitutive Roles of Formal and Informal Controls
378,378,No Free Lunch: Price Premium for Privacy Seal-Bearing Vendors
379,379,Donor-to-Nonprofit Online Marketplace: An Economic Analysis of the Effects on Fund-Raising
380,380,Impact of Internal Open Source Development on Reuse: Participatory Reuse in Action
381,381,Balancing IT with the Human Touch: Optimal Investment in IT-Based Customer Service
382,382,"The ""Third Hand"": IT-Enabled Competitive Advantage in Turbulence Through Improvisational Capabilities"
383,383,Changing the Competitive Landscape: Continuous Innovation Through IT-Enabled Knowledge Capabilities
384,384,Managerial Interpretations of the Role of Information Systems in Competitive Actions and Firm Performance: A Grounded Theory Investigation
385,385,Leveraging IT Capabilities and Competitive Process Capabilities for the Management of Interorganizational Relationship Portfolios
386,386,"Information Technology, Network Structure, and Competitive Action"
387,387,A Network Perspective of Digital Competition in Online Advertising Industries: A Simulation-Based Approach
388,388,Competitive Actions and Dynamics in the Digital Age: An Empirical Investigation of Social Networking Firms
389,389,Competing in Crowded Markets: Multimarket Contact and the Nature of Competition in the Enterprise Systems Software Industry
390,390,"Why Do Software Firms Fail? Capabilities, Competitive Actions, and Firm Survival in the Software Industry from 1995 to 2007"
391,391,Predicting Collaboration Technology Use: Integrating Technology Adoption and Collaboration Research
392,392,Are Consumers More Likely to Contribute Online Reviews for Hit or Niche Products?
393,393,Empirical Analysis of the Impact of Recommender Systems on Sales
394,394,Net Neutrality and Vertical Integration of Content and Broadband Services
395,395,"Information Technology Diffusion with Influentials, Imitators, and Opponents"
396,396,DETECTING FAKE WEBSITES: THE CONTRIBUTION OF STATISTICAL LEARNING THEORY
397,397,CIRCUITS OF POWER: A STUDY OF MANDATED COMPLIANCE TO AN INFORMATION SYSTEMS SECURITY DE JURE STANDARD IN A GOVERNMENT ORGANIZATION
398,398,NEUTRALIZATION: NEW INSIGHTS INTO THE PROBLEM OF EMPLOYEE INFORMATION SYSTEMS SECURITY POLICY VIOLATIONS
399,399,USER PARTICIPATION IN INFORMATION SYSTEMS SECURITY RISK MANAGEMENT
400,400,INFORMATION SECURITY POLICY COMPLIANCE: AN EMPIRICAL STUDY OF RATIONALITY-BASED BELIEFS AND INFORMATION SECURITY AWARENESS
401,401,FEAR APPEALS AND INFORMATION SECURITY BEHAVIORS: AN EMPIRICAL STUDY
402,402,MARKET VALUE OF VOLUNTARY DISCLOSURES CONCERNING INFORMATION SECURITY
403,403,THE IMPACT OF MALICIOUS AGENTS ON THE ENTERPRISE SOFTWARE INDUSTRY
404,404,PRACTICING SAFE COMPUTING: A MULTIMETHOD EMPIRICAL EXAMINATION OF HOME COMPUTER USER SECURITY BEHAVIORAL INTENTIONS
405,405,"Information Transparency in Business-to-Consumer Markets: Concepts, Framework, and Research Agenda"
406,406,Resource Allocation Policies for Personalization in Content Delivery Sites
407,407,"Technological Frames, Organizational Capabilities, and IT Use: An Empirical Investigation of Electronic Procurement"
408,408,"Diffusion Models for Peer-to-Peer (P2P) Media Distribution: On the Impact of Decentralized, Constrained Supply"
409,409,Complementarities Between Organizational IT Architecture and Governance Structure
410,410,Assessing Screening and Evaluation Decision Support Systems: A Resource-Matching Approach
411,411,Visualization of Network Concepts: The Impact of Working Memory Capacity Differences
412,412,Predicting Web Page Status
413,413,Toward a Causal Interpretation from Observational Data: A New Bayesian Networks Method for Structural Models with Latent Variables
414,414,Does Technological Progress Alter the Nature of Information Technology as a Production Input? New Evidence and New Results
415,415,Follow the Sun Workflow in Global Software Development
416,416,Perpetual Versus Subscription Licensing Under Quality Uncertainty and Network Externality Effects
417,417,The Power of Patterns and Pattern Recognition When Developing Information-Based Strategy
418,418,Models of Collaboration as the Foundation for Collaboration Technologies
419,419,Bounded Ideation Theory
420,420,Network Externalities and Technology Use: A Quantitative Analysis of Intraorganizational Blogs
421,421,Technology Dominance in Complex Decision Making: The Case of Aided Credibility Assessment
422,422,"Team Size, Dispersion, and Social Loafing in Technology-Supported Teams: A Perspective on the Theory of Moral Disengagement"
423,423,Antecedents and Effects of CIO Supply-Side and Demand-Side Leadership: A Staged Maturity Model
424,424,The Influence of Experiential and Dispositional Factors in Phishing: An Empirical Investigation of the Deceived
425,425,COMPUTING IN EVERYDAY LIFE: A CALL FOR RESEARCH ON EXPERIENTIAL COMPUTING
426,426,"INFORMATION SYSTEMS STRATEGY: RECONCEPTUALIZATION, MEASUREMENT, AND IMPLICATIONS"
427,427,BRAND POSITIONING STRATEGY USING SEARCH ENGINE MARKETING
428,428,EXPECTATION DISCONFIRMATION AND TECHNOLOGY ADOPTION: POLYNOMIAL MODELING AND RESPONSE SURFACE ANALYSIS
429,429,A MULTI-PROJECT MODEL OF KEY FACTORS AFFECTING ORGANIZATIONAL BENEFITS FROM ENTERPRISE SYSTEMS
430,430,INFORMATION ABOUT INFORMATION: A TAXONOMY OF VIEWS
431,431,INVESTIGATING Two CONTRADICTORY VIEWS OF FORMATIVE MEASUREMENT IN INFORMATION SYSTEMS RESEARCH
432,432,INTRODUCTION TO THE SPECIAL ISSUE ON NOVEL PERSPECTIVES ON TRUST IN INFORMATION SYSTEMS
433,433,WHAT DOES THE BRAIN TELL US ABOUT TRUST AND DISTRUST? EVIDENCE FROM A FUNCTIONAL NEUROIMAGING STUDY
434,434,ARE THERE NEURAL GENDER DIFFERENCES IN ONLINE TRUST? AN FMRI STUDY ON THE PERCEIVED TRUSTWORTHINESS OF EBAY OFFERS
435,435,IT Careers Camp: An Early Intervention Strategy to Increase IS Enrollments
436,436,On Evaluating Information Revelation Policies in Procurement Auctions: A Markov Decision Process Approach
437,437,Contractual Provisions to Mitigate Holdup: Evidence from Information Technology Outsourcing
438,438,Is Query Reuse Potentially Harmful? Anchoring and Adjustment in Adapting Existing Database Queries
439,439,Use of Pricing Schemes for Differentiating Information Goods
440,440,Design and Analysis of Contracts for Software Outsourcing
441,441,An Empirical Analysis of Software Vendors' Patch Release Behavior: Impact of Vulnerability Disclosure
442,442,Ex Ante Information and the Design of Keyword Auctions
443,443,"Electronic Markets, Search Costs, and Firm Boundaries"
444,444,Induction over Strategic Agents
445,445,Quality Uncertainty and the Performance of Online Sponsored Search Markets: An Empirical Investigation
446,446,An Interdisciplinary Perspective on IT Services Management and Service Science
447,447,Connecting IT Services Operations to Services Marketing Practices
448,448,"Multitask Agency, Modular Architecture, and Task Disaggregation in SaaS"
449,449,Coordination Strategies in an SaaS Supply Chain
450,450,Understanding the Economic Potential of Service-Oriented Architecture
451,451,Managers' Judgments of Performance in IT Services Outsourcing
452,452,"A Service Science Perspective on Strategic Choice, IT, and Performance in US Banking"
453,453,Implementing Service-Oriented Architecture in Organizations
454,454,Demand Information Sharing in Heterogeneous IT Services Environments
455,455,Should We Go Our Own Way? Backsourcing Flexibility in IT Services Contracts
456,456,INFORMATION SYSTEMS INNOVATION FOR ENVIRONMENTAL SUSTAINABILITY
457,457,INFORMATION SYSTEMS AND ENVIRONMENTALLY SUSTAINABLE DEVELOPMENT: ENERGY INFORMATICS AND NEW DIRECTIONS FOR THE IS COMMUNITY
458,458,AN EMPIRICAL ANALYSIS OF THE IMPACT OF INFORMATION CAPABILITIES DESIGN ON BUSINESS PROCESS OUTSOURCING PERFORMANCE
459,459,CHASING THE HOTTEST IT: EFFECTS OF INFORMATION TECHNOLOGY FASHION ON ORGANIZATIONS
460,460,TOWARD AGILE: AN INTEGRATED ANALYSIS OF QUANTITATIVE AND QUALITATIVE FIELD DATA ON SOFTWARE DEVELOPMENT AGILITY
461,461,VITAL SIGNS FOR VIRTUAL TEAMS: AN EMPIRICALLY DEVELOPED TRIGGER MODEL FOR TECHNOLOGY ADAPTATION INTERVENTIONS
462,462,JOB CHARACTERISTICS AND JOB SATISFACTION: UNDERSTANDING THE ROLE OF ENTERPRISE RESOURCE PLANNING SYSTEM IMPLEMENTATION
463,463,THE FORMATION AND VALUE OF IT-ENABLED RESOURCES: ANTECEDENTS AND CONSEQUENCES OF SYNERGISTIC RELATIONSHIPS
464,464,WHAT MAKES A HELPFUL ONLINE REVIEW? A STUDY OF CUSTOMER REVIEWS ON AMAZON.COM
465,465,An Empirical Analysis of Contract Structures in IT Outsourcing
466,466,Designing Intelligent Software Agents for Auctions with Limited Information Feedback
467,467,How Incorporating Feedback Mechanisms in a DSS Affects DSS Evaluations
468,468,Trans-Situated Learning: Supporting a Network of Practice with an Information Infrastructure
469,469,An Empirical Investigation of End-User Query Development: The Effects of Improved Model Expressiveness vs. Complexity
470,470,Competitive Environment and the Relationship Between IT and Vertical Integration
471,471,Control in Internal and Outsourced Software Projects
472,472,Design and Use of Preference Markets for Evaluation of Early Stage Technologies
473,473,Consumer Empowerment Through Internet-Based Co-creation
474,474,Optimal Policy for Software Patents: Model and Comparative Implications
475,475,The Role of Push-Pull Technology in Privacy Calculus: The Case of Location-Based Services
476,476,"Trust-Assuring Arguments in B2C E-commerce: Impact of Content, Source, and Price on Trust"
477,477,Speed Matters: The Role of Free Software Offer in Software Diffusion
478,478,Risks and Benefits of Signaling Information System Characteristics to Strategic Attackers
479,479,Estimating Time Required to Reach Bid Levels in Online Auctions
480,480,FASHION WAVES IN INFORMATION SYSTEMS RESEARCH AND PRACTICE
481,481,HOW ETHICS CAN ENHANCE ORGANIZATIONAL PRIVACY: LESSONS FROM THE CHOICEPOINT AND TJX DATA BREACHES
482,482,INTERPRETATION OF FORMATIVE MEASUREMENT IN INFORMATION SYSTEMS RESEARCH
483,483,COMMUNITY LEARNING IN INFORMATION TECHNOLOGY INNOVATION
484,484,INTERFIRM STRATEGIC INFORMATION FLOWS IN LOGISTICS SUPPLY CHAIN RELATIONSHIPS
485,485,OVERLAPPING ONLINE AUCTIONS: EMPIRICAL CHARACTERIZATION OF BIDDER STRATEGIES AND AUCTION PRICES
486,486,SELECTIVE STATUS REPORTING IN INFORMATION SYSTEMS PROJECTS: A DYADIC-LEVEL INVESTIGATION
487,487,RESOLVING DIFFERENCE SCORE ISSUES IN INFORMATION SYSTEMS RESEARCH
488,488,NONLINEARITIES BETWEEN ATTITUDE AND SUBJECTIVE NORMS IN INFORMATION TECHNOLOGY ACCEPTANCE: A NEGATIVE SYNERGY?
489,489,Agility from First Principles: Reconstructing the Concept of Agility in Information Systems Development
490,490,Coevolving Systems and the Organization of Agile Software Development
491,491,A Control Theory Perspective on Agile Methodology Use and Changing User Requirements
492,492,Control of Flexible Software Development Under Uncertainty
493,493,Crossing Spatial and Temporal Boundaries in Globally Distributed Projects: A Relational Model of Coordination Delay
494,494,Exploring Agility in Distributed Information Systems Development Teams: An Interpretive Study in an Offshoring Context
495,495,"Business Models for Monetizing Internet Applications and Web Sites: Experience, Theory, and Predictions"
496,496,An Empirical Investigation of the Value of Integrating Enterprise Information Systems: The Case of Medical Imaging Informatics
497,497,Information Personalization in a Two-Dimensional Product Differentiation Model
498,498,Information Security: Facilitating User Precautions Vis-a-Vis Enforcement Against Attackers
499,499,Effects of Organizational Learning and Knowledge Transfer on Investment Decisions Under Uncertainty
500,500,A Learning Model of Information Technology Outsourcing: Normative Implications
501,501,"The Unified Procurement Strategy for Enterprise Software: A Test of the ""Move to the Middle"" Hypothesis"
502,502,"A Transaction Cost Perspective of the ""Software as a Service"" Business Model"
503,503,Individual Swift Trust and Knowledge-Based Trust in Face-to-Face and Virtual Team Members
504,504,"WHY BREAK THE HABIT OF A LIFETIME? RETHINKING THE ROLES OF INTENTION, HABIT, AND EMOTION IN CONTINUING INFORMATION TECHNOLOGY USE"
505,505,MINIMIZING METHOD BIAS THROUGH PROGRAMMATIC RESEARCH
506,506,ESTIMATING THE EFFECT OF COMMON METHOD VARIANCE: THE METHOD-METHOD PAIR TECHNIQUE WITH AN ILLUSTRATION FROM TAM RESEARCH
507,507,WEB STRATEGIES TO PROMOTE INTERNET SHOPPING: IS CULTURAL-CUSTOMIZATION NEEDED?
508,508,THE INTEGRATIVE FRAMEWORK OF TECHNOLOGY USE: AN EXTENSION AND TEST
509,509,EXPLORING HUMAN IMAGES IN WEBSITE DESIGN: A MULTI-METHOD APPROACH
510,510,INVESTIGATING USER RESISTANCE TO INFORMATION SYSTEMS IMPLEMENTATION: A STATUS QUO BIAS PERSPECTIVE
511,511,DIVIDED BY A COMMON LANGUAGE? A RESPONSE TO MARSHALL SCOTT POOLE
512,512,"THE EVOLUTION OF RISK IN INFORMATION SYSTEMS OFFSHORING: THE IMPACT OF HOME COUNTRY RISK, FIRM LEARNING, AND COMPETITIVE DYNAMICS"
513,513,OFFSHORE INFORMATION SYSTEMS PROJECT SUCCESS: THE ROLE OF SOCIAL EMBEDDEDNESS AND CULTURAL CHARACTERISTICS
514,514,Antecedents of IS Strategic Alignment: A Nomological Network
515,515,Governance-Knowledge Fit in Systems Development Projects
516,516,Configuration of and Interaction Between Information Security Technologies: The Case of Firewalls and Intrusion Detection Systems
517,517,Willingness to Pay in an Open Source Software Environment
518,518,"Trust and Satisfaction, Two Stepping Stones for Successful E-Commerce Relationships: A Longitudinal Exploration"
519,519,Demand Heterogeneity in IT Infrastructure Services: Modeling and Evaluation of a Dynamic Approach to Defining Service Levels
520,520,"Social Interactions and the ""Digital Divide"": Explaining Variations in Internet Use"
521,521,From Association to Causation via a Potential Outcomes Approach
522,522,A Meta-Theory for Understanding Information Systems Within Sociotechnical Systems
523,523,Decentralization in Wikipedia Governance
524,524,Engaging Group E-Learning in Virtual Worlds
525,525,Chaos Theory as a Lens for Interpreting Blogging
526,526,Managing Knowledge in Light of Its Evolution Process: An Empirical Study on Citation Network-Based Patent Classification
527,527,The CMC Interactivity Model: How Interactivity Enhances Communication Quality and Process Satisfaction in Lean-Media Groups
528,528,Leveraging Crowdsourcing: Activation-Supporting Components for IT-Based Ideas Competition
529,529,A Design Approach for Collaboration Processes: A Multimethod Design Science Study in Collaboration Engineering
530,530,Organizational Assimilation of Electronic Procurement Innovations
531,531,Differential Effects of the Two Types of Information Systems: A Hospital-Based Study
532,532,WHOM ARE WE INFORMING? ISSUES AND RECOMMENDATIONS FOR MIS RESEARCH FROM AN INFORMING SCIENCES PERSPECTIVE
533,533,A SCIENTIFIC BASIS FOR RIGOR IN INFORMATION SYSTEMS RESEARCH
534,534,INTERNET EXCHANGES FOR USED GOODS: AN EMPIRICAL ANALYSIS OF TRADE PATTERNS AND ADVERSE SELECTION
535,535,INTERACTIVE DECISION AIDS FOR CONSUMER DECISION MAKING IN E-COMMERCE: THE INFLUENCE OF PERCEIVED STRATEGY RESTRICTIVENESS
536,536,COMPETING WITH FREE: THE IMPACT OF MOVIE BROADCASTS ON DVD SALES AND INTERNET PIRACY
537,537,ADOPTION OF ELECTRONIC HEALTH RECORDS IN THE PRESENCE OF PRIVACY CONCERNS: THE ELABORATION LIKELIHOOD MODEL AND INDIVIDUAL PERSUASION
538,538,MODEL OF ACCEPTANCE WITH PEER SUPPORT: A SOCIAL NETWORK PERSPECTIVE TO UNDERSTAND EMPLOYEES' SYSTEM USE
539,539,INFORMATION SYSTEMS THEORIZING BASED ON EVOLUTIONARY PSYCHOLOGY: AN INTERDISCIPLINARY REVIEW AND THEORY INTEGRATION FRAMEWORK
540,540,A META-ANALYSIS OF THE ROLE OF ENVIRONMENT-BASED VOLUNTARINESS IN INFORMATION TECHNOLOGY ACCEPTANCE
541,541,Does Fit Matter? The Impact of Task-Technology Fit and Appropriation on Team Performance in Repeated Tasks
542,542,Information Technology in Supply Chains: The Value of IT-Enabled Resources Under Competition
543,543,A Computational Analysis of Linear Price Iterative Combinatorial Auction Formats
544,544,The Influence of Website Characteristics on a Consumer's Urge to Buy Impulsively
545,545,User Awareness of Security Countermeasures and Its Impact on Information Systems Misuse: A Deterrence Approach
546,546,Impact of the Union and Difference Operations on the Quality of Information Products
547,547,Choice and Chance: A Conceptual Model of Paths to Information Security Compromise
548,548,Investments in Information Technology: Indirect Effects and Information Technology Intensity
549,549,Understanding Sustained Participation in Open Source Software Projects
550,550,Competence of IT Professionals in E-Business Venture Teams: The Effect of Experience and Expertise on Preference Structure
551,551,How Knowledge Validation Processes Affect Knowledge Contribution
552,552,Preserving User Preferences in Automated Document-Category Management: An Evolution-Based Approach
553,553,Evaluating Anthropomorphic Product Recommendation Agents: A Social Relationship Perspective to Designing Information Systems
554,554,Managerial Entrenchment with Strategic Information Technology: A Dynamic Perspective
555,555,Diversification and Firm Performance: Exploring the Moderating Effects of Information Technology Spending
556,556,Optimal Digital Content Distribution Strategy in the Presence of the Consumer-to-Consumer Channel
557,557,Patterns of Transition: The Shift from Traditional to Object-Oriented Development
558,558,"THE SHOEMAKER'S CHILDREN: USING WIKIS FOR INFORMATION SYSTEMS TEACHING, RESEARCH, AND PUBLICATION"
559,559,INFORMATIONAL CASCADES AND SOFTWARE ADOPTION ON THE INTERNET: AN EMPIRICAL INVESTIGATION
560,560,OUT OF DEDICATION OR CONSTRAINT? A DUAL MODEL OF POST-ADOPTION PHENOMENA AND ITS EMPIRICAL TEST IN THE CONTEXT OF ONLINE SERVICES
561,561,AVOIDANCE OF INFORMATION TECHNOLOGY THREATS: A THEORETICAL PERSPECTIVE
562,562,ARE TWO HEADS BETTER THAN ONE FOR SOFTWARE DEVELOPMENT? THE PRODUCTIVITY PARADOX OF PAIR PROGRAMMING
563,563,THE ROLE OF SERVICE LEVEL AGREEMENTS IN RELATIONAL MANAGEMENT OF INFORMATION TECHNOLOGY OUTSOURCING: AN EMPIRICAL STUDY
564,564,POWER AND CONCESSION IN COMPUTER-MEDIATED NEGOTIATIONS: AN EXAMINATION OF FIRST OFFERS
565,565,USING PLS PATH MODELING FOR ASSESSING HIERARCHICAL CONSTRUCT MODELS: GUIDELINES AND EMPIRICAL ILLUSTRATION
566,566,ASSESSING BETWEEN-GROUP DIFFERENCES IN INFORMATION SYSTEMS RESEARCH: A COMPARISON OF COVARIANCE- AND COMPONENT-BASED SEM
567,567,Consumer Surplus in Online Auctions
568,568,The Consequences of Technostress for End Users in Organizations: Conceptual Development and Empirical Validation
569,569,"A Model of Conflict, Leadership, and Performance in Virtual Teams"
570,570,Self-Selection and Information Role of Online Product Reviews
571,571,From Peer Production to Productization: A Study of Socially Enabled Business Exchanges in Open Source Service Networks
572,572,The Role of Feedback in Managing the Internet-Based Volunteer Work Force
573,573,The Complementary Effects of E-Markets on Existing Supplier-Buyer Relationships in a Supply Chain
574,574,Auctioning Vertically Integrated Online Services: Computational Approaches for Real-Time Allocation
575,575,Trust and Electronic Government Success: An Empirical Study
576,576,Change Management in Interorganizational Systems for the Public
577,577,Individual Adaptation to IT-Induced Change: The Role of Social Networks
578,578,Determinants of the Choice of Open Source Software License
579,579,The Impact of Open Source Software on the Strategic Choices of Firms Developing Proprietary Software
580,580,Impact of Knowledge Support on the Performance of Software Process Tailoring
581,581,Tuning Data Mining Methods for Cost-Sensitive Regression: A Study in Loan Charge-Off Forecasting
582,582,Investments in Information Security: A Real Options Perspective with Bayesian Postaudit
583,583,MARSHALING THE PROFESSIONAL EXPERIENCE OF DOCTORAL STUDENTS: A CONTRIBUTION TO THE PRACTICAL RELEVANCE DEBATE
584,584,A FAST FORM APPROACH TO MEASURING TECHNOLOGY ACCEPTANCE AND OTHER CONSTRUCTS
585,585,"BUYER INTENTION TO USE INTERNET-ENABLED REVERSE AUCTIONS: THE ROLE OF ASSET SPECIFICITY, PRODUCT SPECIALIZATION, AND NON-CONTRACTIBILITY"
586,586,THE DESIGN THEORY NEXUS
587,587,PROCESS GRAMMAR AS A TOOL FOR BUSINESS PROCESS DESIGN
588,588,MAKING SENSE OF TECHNOLOGY TRENDS IN THE INFORMATION TECHNOLOGY LANDSCAPE: A DESIGN SCIENCE APPROACH
